"дебажить","заниматься отладкой кода -  искать причины проблем с помощью программы - от слов debug/debugger"
"деплой","развернуть-выложить новую версию приложения - от слова deploy"
"таск","задача, которую надо выполнить - от слова task"
"ишу","проблема/сложность/задача, которую нужно устранить - от слова issue"
"пофиксить","найти и устранить проблему или ошибку в работе программы - от слова fix"
"прикрутить","настроить использование в своем приложении чужого кода -  подпрограммы"
"засетить","сохранить какие-либо данные в определенное хранилищи - от слова set"
"запушить","выложить свои наработки в репозиторий - от команды push из git"
"запулить","загрузить к себе обновления из репозитория - от команды pull из git"
"заинвайтить","пригласить кого-то куда-то"
"накатить","применить изменения к чему-то"
"откатить","отменить изменения примененные ранее"
"бой","главная версия приложения-сайта - которой пользуются пользователи"
" продакшн","от слова production, то же, что и бой"
"релиз","версия приложения - от слова realise"
"пробить","узнать что-то -  разведать-проверить"
"расшарить","выложить файл в общий доступ"
"девел","рабочая версия приложения-сайта-сервера на котором программисты реализуют задачи - от слова development"
"инстанс","экземпляр чего-либо, чаще всего сайта - от слова instance"
"репозиторий","хранилище - от слова repository"
"брекпойнт","точка останова в программе при дибаггинге - от слова breakpoint"
"пробросить","передать информацию или данные через что-то"
"хардкод, хардкодить","очень неправильный код или программирование -  очевидное неумение"
"кодер","неумелый программист"
"сбросить","отменить изменения"
"отвалилось","что-то пошло не так - произошла ошибка"
"пингануть","в консоли проверить отклик сайта или IP-адреса -  воспользоваться командой ping"
"баг","ошибка,проблемный участок кода"
"чекнуть","проверить и подтвердить"
"танцы с бубнами","что-то долго делать нетривиальным или непривычным способом"
"парсить","разбирать строку что-то на составляющие части"
"итерировать, обходить","перебирать массив/коллекцию"
"смержить","объединить несколько элементов (массивы, git-ветки) - от слова merge"
"курить маны","изучать мануалы (руководства) по чему-либо"
"запилить","сделать залихвастски что-то актуальное"
